"id","trade_code","date","high","low","open","close","volume"
"153","ABBANK","2020-07-16","7","6.8","6.9","6.9","296"
"154","ABBANK","2020-07-15","7.1","6.9","7","6.9","264"
"155","ABBANK","2020-07-14","7.1","6.9","7.1","7","162"
"156","ABBANK","2020-07-13","7.2","6.9","7.1","7","413"
"157","ABBANK","2020-07-12","7.3","7.1","7.3","7.2","418"
"158","ABBANK","2020-07-09","7.4","7.1","7.2","7.3","300"
"159","ABBANK","2020-07-08","7.2","6.9","6.9","7.2","338"
"160","ABBANK","2020-07-07","7.1","6.9","6.9","6.9","407"
"161","ABBANK","2020-07-06","7","6.8","6.8","6.9","192"
"162","ABBANK","2020-07-05","7.2","6.7","7.1","6.8","917"
"163","ABBANK","2020-07-02","7.3","6.8","6.8","7.2","368"
"164","ACFL","2020-08-10","23.9","22.3","23.3","23.2","574"
"165","ACFL","2020-08-09","23.3","21.8","21.8","23.3","654"
"166","ACFL","2020-08-06","21.2","19.2","19.5","21.2","420"
"167","ACFL","2020-08-05","20","19.1","19.8","19.3","152"
"168","ACFL","2020-08-04","20.4","19.7","19.8","19.9","187"
"169","ACFL","2020-08-03","20.3","19.6","20.1","19.8","215"
"170","ACFL","2020-07-30","20.6","19.2","19.2","20.1","348"
"171","ACFL","2020-07-29","19.4","18.6","18.6","19.2","166"
"172","ACFL","2020-07-28","19","18.6","18.7","18.6","56"
"173","ACFL","2020-07-27","19","18.6","18.6","18.7","92"
"174","ACFL","2020-07-26","19.4","18.6","19","18.6","163"
"175","ACFL","2020-07-23","19.2","18.6","18.6","18.9","188"
"176","ACFL","2020-07-22","18.6","18.6","18.6","18.6","3"
"177","ACFL","2020-07-21","18.6","18.6","18.6","18.6","5"
"178","ACFL","2020-07-20","18.6","18.6","18.6","18.6","10"
"179","ACFL","2020-07-19","0","0","0","18.6","0"
"180","ACFL","2020-07-16","18.6","18.6","18.6","18.6","5"
"181","ACFL","2020-07-15","18.6","18.6","18.6","18.6","300"
"182","ACFL","2020-07-14","18.6","18.6","18.6","18.6","1"
"183","ACFL","2020-07-13","18.8","18.6","18.6","18.6","67"
"184","ACFL","2020-07-12","18.9","18.6","18.6","18.6","96"
"185","ACFL","2020-07-09","19.4","18.6","18.6","18.6","201"
"186","ACFL","2020-07-08","18.6","18.6","18.6","18.6","100"
"187","ACFL","2020-07-07","18.6","18.6","18.6","18.6","244"
"188","ACFL","2020-07-06","18.6","18.6","18.6","18.6","1"
"189","ACFL","2020-07-05","18.6","18.6","18.6","18.6","200"
"190","ACFL","2020-07-02","18.6","18.6","18.6","18.6","200"
"191","ACI","2020-08-10","271","263","269.1","265.2","146"
"192","ACI","2020-08-09","276.2","262.1","262.1","269","203"
"193","ACI","2020-08-06","266","249.7","251","261.9","153"
"194","ACI","2020-08-05","256.1","245.1","255.9","250.6","93"
"195","ACI","2020-08-04","260","248.4","249","255.9","103"
"196","ACI","2020-08-03","254","243.2","245","249","139"
"197","ACI","2020-07-30","245","236","238.7","242.3","101"
"198","ACI","2020-07-29","239.9","231","232","238.8","136"
"199","ACI","2020-07-28","232.5","223","232.5","229.5","93"
"200","ACI","2020-07-27","238.7","225.5","228","234.5","206"
"201","ACI","2020-07-26","229.1","210","210","223.5","181"
"202","ACI","2020-07-23","212.3","208.1","210.3","210.7","61"
"203","ACI","2020-07-22","211.1","208","209.4","210.3","61"
"204","ACI","2020-07-21","210","205.8","206.3","209.4","64"
"205","ACI","2020-07-20","207","203","203","206.4","58"
"206","ACI","2020-07-19","207","203.5","207","205.4","35"
"207","ACI","2020-07-16","209.9","207.6","208","208","52"
"208","ACI","2020-07-15","208.9","205.5","205.6","208.1","56"
"209","ACI","2020-07-14","212.9","206","209.4","207.7","74"
"210","ACI","2020-07-13","215","207.5","213.7","209.3","71"
"211","ACI","2020-07-12","215","205.5","210","213.7","118"
"212","ACI","2020-07-09","210.5","199.6","200.1","208","167"
"213","ACI","2020-07-08","205","199.6","201.9","200.7","106"
"214","ACI","2020-07-07","203.5","196.5","197.8","201.9","98"
"215","ACI","2020-07-06","198.6","191","192.6","197.4","69"
"216","ACI","2020-07-05","197.4","191.5","197.1","192.6","45"
"217","ACI","2020-07-02","203.1","197.3","203.1","198","65"
"218","ACIFORMULA","2020-08-10","127.8","123.2","127.1","125.6","91"
"219","ACIFORMULA","2020-08-09","131","125","127.4","126.4","70"
"220","ACIFORMULA","2020-08-06","127","122.1","122.1","125.5","85"
"221","ACIFORMULA","2020-08-05","128.8","120.7","126.7","122.8","105"
"222","ACIFORMULA","2020-08-04","132.2","126","131.9","126.7","84"
"223","ACIFORMULA","2020-08-03","134","123","125.9","129.4","92"
"224","ACIFORMULA","2020-07-30","127","122.1","124.8","123.9","88"
"225","ACIFORMULA","2020-07-29","126.8","120.4","121","125.4","148"
"226","ACIFORMULA","2020-07-28","121","114.1","118","120.2","75"
"227","ACIFORMULA","2020-07-27","121.3","112.5","112.5","118","196"
"228","ACIFORMULA","2020-07-26","111.9","107","107","110.3","63"
"229","ACIFORMULA","2020-07-23","108.8","105.9","107.4","106.2","31"
"230","ACIFORMULA","2020-07-22","109.9","106.8","108.5","107.4","32"
"231","ACIFORMULA","2020-07-21","108.5","106.2","107","107.5","26"
"232","ACIFORMULA","2020-07-20","108.3","103.5","104","107","34"
"233","ACIFORMULA","2020-07-19","107.9","103.8","107.8","104.7","42"
"234","ACIFORMULA","2020-07-16","109.5","106.3","108.3","106.8","35"
"235","ACIFORMULA","2020-07-15","109.9","107.7","109.1","108.3","45"
"236","ACIFORMULA","2020-07-14","112.8","109","112.8","109.5","41"
"237","ACIFORMULA","2020-07-13","115.4","110.5","113","111.4","60"
"238","ACIFORMULA","2020-07-12","114","108","109.1","113.4","81"
"239","ACIFORMULA","2020-07-09","111.4","107.7","107.7","109.2","73"
"240","ACIFORMULA","2020-07-08","110.8","108","108.8","108.5","79"
"241","ACIFORMULA","2020-07-07","109.9","107.1","108.9","108.8","49"
"242","ACIFORMULA","2020-07-06","108.8","105","106.4","108.1","34"
"243","ACIFORMULA","2020-07-05","108.9","106.1","108.9","106.7","34"
"244","ACIFORMULA","2020-07-02","110.2","107.8","110.2","108.9","37"
"245","ACMELAB","2020-08-10","71.4","68.4","70","69.7","738"
"246","ACMELAB","2020-08-09","70.5","67.5","67.5","69.5","586"
"247","ACMELAB","2020-08-06","67.5","65.8","66.9","67.1","253"
"248","ACMELAB","2020-08-05","68.3","66.1","68.3","66.8","272"
"249","ACMELAB","2020-08-04","68.4","65.3","65.8","68.2","464"
"250","ACMELAB","2020-08-03","66.3","64.6","64.8","65.8","446"
"251","ACMELAB","2020-07-30","64.5","62.8","63.6","64.4","725"
"252","ACMELAB","2020-07-29","63.9","63.2","63.5","63.6","74"
"253","ACMELAB","2020-07-28","64","63.6","63.9","63.6","116"
"254","ACMELAB","2020-07-27","64","63.1","63.3","63.8","209"
"255","ACMELAB","2020-07-26","63.5","62.3","62.4","63.3","120"
"256","ACMELAB","2020-07-23","62.7","62.2","62.7","62.6","74"
"257","ACMELAB","2020-07-22","63","62.4","62.8","62.7","81"
"258","ACMELAB","2020-07-21","63.2","62.7","62.9","62.8","62"
"259","ACMELAB","2020-07-20","63.3","61.2","62.2","63","116"
"260","ACMELAB","2020-07-19","63.5","61.7","63.5","62.3","114"
"261","ACMELAB","2020-07-16","64","63.3","64","63.5","121"
"262","ACMELAB","2020-07-15","64.4","63","63.4","64","244"
"263","ACMELAB","2020-07-14","64.3","62.9","63","63.4","184"
"264","ACMELAB","2020-07-13","64.6","63","63.8","63.3","194"
"265","ACMELAB","2020-07-12","64.1","62.4","63","63.8","365"
"266","ACMELAB","2020-07-09","63.5","62.1","63.2","62.8","352"
"267","ACMELAB","2020-07-08","63.3","61.9","62.3","63.2","354"
"268","ACMELAB","2020-07-07","63","61.7","61.7","62.3","190"
"269","ACMELAB","2020-07-06","62.2","61","61.8","61.6","208"
"270","ACMELAB","2020-07-05","62.1","61.6","62.1","61.8","124"
"271","ACMELAB","2020-07-02","63.4","62","63.4","62.3","225"
"272","ACTIVEFINE","2020-08-10","18.3","17.2","18.2","17.4","3"
"273","ACTIVEFINE","2020-08-09","19","17.8","18.2","18.1","3"
"274","ACTIVEFINE","2020-08-06","19","17","17.5","18.1","4"
"275","ACTIVEFINE","2020-08-05","18","16.6","17.1","17.5","4"
"276","ACTIVEFINE","2020-08-04","16.9","15.6","16.5","16.9","6"
"277","ACTIVEFINE","2020-08-03","15.4","14.2","14.2","15.4","2"
"278","ACTIVEFINE","2020-07-30","14","12.9","12.9","14","3"
"279","ACTIVEFINE","2020-07-29","13","12.5","12.6","12.8","1"
"280","ACTIVEFINE","2020-07-28","12.6","12.4","12.5","12.5","666"
"281","ACTIVEFINE","2020-07-27","12.6","12.4","12.5","12.4","511"
"282","ACTIVEFINE","2020-07-26","12.6","12.3","12.5","12.5","350"
"283","ACTIVEFINE","2020-07-23","12.5","12.3","12.5","12.3","493"
"284","ACTIVEFINE","2020-07-22","12.8","12.4","12.6","12.5","325"
"285","ACTIVEFINE","2020-07-21","12.6","12.3","12.3","12.6","624"
"286","ACTIVEFINE","2020-07-20","12.5","12.3","12.3","12.4","469"
"287","ACTIVEFINE","2020-07-19","12.5","12.3","12.5","12.3","251"
"288","ACTIVEFINE","2020-07-16","12.6","12.3","12.5","12.5","509"
"289","ACTIVEFINE","2020-07-15","12.9","12.3","12.7","12.5","979"
"290","ACTIVEFINE","2020-07-14","13.3","12.6","13.2","12.7","566"
"291","ACTIVEFINE","2020-07-13","13.6","13","13.5","13.1","940"
"292","ACTIVEFINE","2020-07-12","13.6","13","13.3","13.4","789"
"293","ACTIVEFINE","2020-07-09","13.5","12.3","12.3","13.3","2"
"294","ACTIVEFINE","2020-07-08","12.3","12.3","12.3","12.3","89"
"295","ACTIVEFINE","2020-07-07","12.3","12.3","12.3","12.3","21"
"296","ACTIVEFINE","2020-07-06","12.3","12.3","12.3","12.3","18"
"297","ACTIVEFINE","2020-07-05","12.3","12.3","12.3","12.3","53"
"298","ACTIVEFINE","2020-07-02","12.3","12.3","12.3","12.3","1"
"299","ADNTEL","2020-08-10","40.3","38.6","38.8","39","1"
"300","ADNTEL","2020-08-09","39.5","38.2","38.9","38.8","1"
"301","ADNTEL","2020-08-06","39.5","37.8","38.5","38.5","736"
"302","ADNTEL","2020-08-05","40.5","38","40.5","38.4","1"
"303","ADNTEL","2020-08-04","41.9","37.7","40.5","40.2","1"
"304","ADNTEL","2020-08-03","41.4","37.7","37.8","40.1","1"
"305","ADNTEL","2020-07-30","39","37.1","38.4","37.7","1"
"306","ADNTEL","2020-07-29","39.7","37.4","39","38.4","1"
"307","ADNTEL","2020-07-28","39.4","36.7","37.3","38.8","1"
"308","ADNTEL","2020-07-27","38","36.5","37.8","37.4","1"
"309","ADNTEL","2020-07-26","38","35.4","36","37.8","1"
"310","ADNTEL","2020-07-23","36.5","34","34","36.2","1"
"311","ADNTEL","2020-07-22","34.5","32.8","32.8","34.1","1"
"312","ADNTEL","2020-07-21","33","32.1","32.1","32.8","634"
"313","ADNTEL","2020-07-20","32.1","32.1","32.1","32.1","11"
"314","ADNTEL","2020-07-19","32.1","32.1","32.1","32.1","11"
"315","ADNTEL","2020-07-16","32.3","32.1","32.1","32.1","202"
"316","ADNTEL","2020-07-15","34","32.1","34","32.1","627"
"317","ADNTEL","2020-07-14","34","32.1","33.6","32.2","435"
"318","ADNTEL","2020-07-13","35","32.1","32.1","33.6","1"
"319","ADNTEL","2020-07-12","32.1","32.1","32.1","32.1","301"
"320","ADNTEL","2020-07-09","32.1","32.1","32.1","32.1","45"
"321","ADNTEL","2020-07-08","32.1","32.1","32.1","32.1","3"
"322","ADNTEL","2020-07-07","32.1","32.1","32.1","32.1","1"
"323","ADNTEL","2020-07-06","32.1","32.1","32.1","32.1","50"
"324","ADNTEL","2020-07-05","32.1","32.1","32.1","32.1","150"
"325","ADNTEL","2020-07-02","0","0","0","32.1","0"
"326","ADVENT","2020-08-10","25.3","24","25.2","24.2","984"
"327","ADVENT","2020-08-09","25.6","24.5","24.7","24.9","2"
"328","ADVENT","2020-08-06","24.8","23.9","24.1","24.1","1"
"329","ADVENT","2020-08-05","25.5","23.7","25","24","1"
"330","ADVENT","2020-08-04","25.5","23.9","24","24.8","2"
"331","ADVENT","2020-08-03","24.1","23.3","23.3","23.9","1"
"332","ADVENT","2020-07-30","23.2","22.8","22.8","23.1","884"
"333","ADVENT","2020-07-29","22.8","22.8","22.8","22.8","652"
"334","ADVENT","2020-07-28","22.9","22.8","22.9","22.8","245"
"335","ADVENT","2020-07-27","23.2","22.8","23","22.8","664"
"336","ADVENT","2020-07-26","23.2","22.9","22.9","23","517"
"337","ADVENT","2020-07-23","22.9","22.8","22.8","22.8","260"
"338","ADVENT","2020-07-22","23.2","22.8","23.2","22.8","691"
"339","ADVENT","2020-07-21","23.5","23","23.1","23.1","378"
"340","ADVENT","2020-07-20","23.4","22.8","23.2","22.8","917"
"341","ADVENT","2020-07-19","23.7","22.8","23.7","23.1","502"
"342","ADVENT","2020-07-16","24.3","23.5","23.6","23.7","1"
"343","ADVENT","2020-07-15","23.6","22.8","22.8","23.5","1"
"344","ADVENT","2020-07-14","23","22.8","22.8","22.8","185"
"345","ADVENT","2020-07-13","23.2","22.8","22.8","22.8","1"
"346","ADVENT","2020-07-12","23","22.8","22.8","22.8","237"
